2017-06-07 17:23:15 status unpacked libc6:amd64 2.19-18+deb8u9
2017-06-07 17:23:15 status unpacked libc6:amd64 2.19-18+deb8u9
2017-06-07 17:23:16 install multiarch-support:amd64 <none> 2.19-18+deb8u9
2017-06-07 17:23:16 status half-installed multiarch-support:amd64 2.19-18+deb8u9
2017-06-07 17:23:16 status unpacked multiarch-support:amd64 2.19-18+deb8u9
2017-06-07 17:23:16 status unpacked multiarch-support:amd64 2.19-18+deb8u9
2017-06-07 17:23:16 install grep:amd64 <none> 2.20-4.1
2017-06-07 17:23:16 status half-installed grep:amd64 2.20-4.1
2017-06-07 17:23:16 status unpacked grep:amd64 2.20-4.1
2017-06-07 17:23:16 status unpacked grep:amd64 2.20-4.1
2017-06-07 17:23:16 install gzip:amd64 <none> 1.6-4
2017-06-07 17:23:16 status half-installed gzip:amd64 1.6-4
2017-06-07 17:23:16 status unpacked gzip:amd64 1.6-4
2017-06-07 17:23:16 status unpacked gzip:amd64 1.6-4
2017-06-07 17:23:16 install hostname:amd64 <none> 3.15
2017-06-07 17:23:16 status half-installed hostname:amd64 3.15
2017-06-07 17:23:16 status unpacked hostname:amd64 3.15
2017-06-07 17:23:16 status unpacked hostname:amd64 3.15
2017-06-07 17:23:16 install init:amd64 <none> 1.22
2017-06-07 17:23:16 status half-installed init:amd64 1.22
2017-06-07 17:23:16 status unpacked init:amd64 1.22
2017-06-07 17:23:16 status unpacked init:amd64 1.22
2017-06-07 17:23:16 install insserv:amd64 <none> 1.14.0-5
2017-06-07 17:23:16 status half-installed insserv:amd64 1.14.0-5
2017-06-07 17:23:16 status unpacked insserv:amd64 1.14.0-5
2017-06-07 17:23:16 status unpacked insserv:amd64 1.14.0-5
2017-06-07 17:23:16 install libkmod2:amd64 <none> 18-3
2017-06-07 17:23:16 status half-installed libkmod2:amd64 18-3
2017-06-07 17:23:16 status unpacked libkmod2:amd64 18-3
2017-06-07 17:23:16 status unpacked libkmod2:amd64 18-3
2017-06-07 17:23:16 install libcap2:amd64 <none> 1:2.24-8
2017-06-07 17:23:16 status half-installed libcap2:amd64 1:2.24-8
2017-06-07 17:23:16 status unpacked libcap2:amd64 1:2.24-8
2017-06-07 17:23:16 status unpacked libcap2:amd64 1:2.24-8
2017-06-07 17:23:16 install libcap2-bin:amd64 <none> 1:2.24-8
2017-06-07 17:23:16 status half-installed libcap2-bin:amd64 1:2.24-8
2017-06-07 17:23:16 status unpacked libcap2-bin:amd64 1:2.24-8
2017-06-07 17:23:16 status unpacked libcap2-bin:amd64 1:2.24-8
2017-06-07 17:23:16 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-06-07 17:23:16 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-06-07 17:23:16 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-06-07 17:23:16 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-06-07 17:23:16 install libgpg-error0:amd64 <none> 1.17-3
2017-06-07 17:23:16 status half-installed libgpg-error0:amd64 1.17-3
2017-06-07 17:23:16 status unpacked libgpg-error0:amd64 1.17-3
2017-06-07 17:23:16 status unpacked libgpg-error0:amd64 1.17-3
2017-06-07 17:23:16 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
